[2025-02-13T20:00:14.899+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-13T20:00:14.916+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: infinite_hello_dag.say_hello_forever manual__2025-02-13T19:59:58+00:00 [queued]>
[2025-02-13T20:00:14.926+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: infinite_hello_dag.say_hello_forever manual__2025-02-13T19:59:58+00:00 [queued]>
[2025-02-13T20:00:14.927+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-02-13T20:00:14.961+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): say_hello_forever> on 2025-02-13 19:59:58+00:00
[2025-02-13T20:00:14.964+0000] {standard_task_runner.py:72} INFO - Started process 448 to run task
[2025-02-13T20:00:14.967+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'infinite_hello_dag', 'say_hello_forever', 'manual__2025-02-13T19:59:58+00:00', '--job-id', '72', '--raw', '--subdir', 'DAGS_FOLDER/welcome_dag.py', '--cfg-path', '/tmp/tmpt87rdf_5']
[2025-02-13T20:00:14.969+0000] {standard_task_runner.py:105} INFO - Job 72: Subtask say_hello_forever
[2025-02-13T20:00:15.046+0000] {task_command.py:467} INFO - Running <TaskInstance: infinite_hello_dag.say_hello_forever manual__2025-02-13T19:59:58+00:00 [running]> on host 1366b6904b8a
[2025-02-13T20:00:15.149+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='infinite_hello_dag' AIRFLOW_CTX_TASK_ID='say_hello_forever' AIRFLOW_CTX_EXECUTION_DATE='2025-02-13T19:59:58+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-02-13T19:59:58+00:00'
[2025-02-13T20:00:15.150+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-02-13T20:02:36.112+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:02:43.840+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:02:48.842+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:02:53.843+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:02:58.845+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:03:03.847+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:03:08.848+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:03:16.578+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:03:21.579+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:03:26.581+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:03:31.584+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:03:36.585+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:03:41.587+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:03:49.315+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:03:54.316+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:03:59.318+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:04:04.319+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:04:09.320+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:04:14.321+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:04:22.050+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:04:27.052+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:04:32.053+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:04:37.056+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:04:42.058+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:04:47.059+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:04:54.788+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:04:59.789+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:05:04.790+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:05:09.791+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:05:14.793+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:05:19.796+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:05:27.523+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:05:32.524+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:05:37.526+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:05:42.527+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:05:47.528+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:05:52.530+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:06:00.261+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:06:05.262+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:06:10.265+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:06:15.270+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:06:20.272+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:06:25.275+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:06:33.006+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:06:38.011+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:06:43.016+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:06:48.017+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:06:53.019+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:06:58.020+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:07:05.747+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:07:10.749+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:07:15.750+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:07:20.751+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:07:25.753+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:07:30.754+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:07:38.482+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:07:43.484+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:07:48.485+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:07:53.486+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:07:58.488+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:08:03.490+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:08:11.219+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:08:16.221+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:08:21.222+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:08:26.224+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:08:31.225+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:08:36.228+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:08:43.956+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:08:48.958+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:08:53.960+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:08:58.961+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:09:03.963+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:09:08.964+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:09:16.693+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:09:21.694+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:09:26.696+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:09:31.697+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:09:36.700+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:09:41.701+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:09:49.430+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:09:54.431+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:09:59.433+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:10:04.434+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:10:09.436+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:10:09.753+0000] {local_task_job_runner.py:127} ERROR - Received SIGTERM. Terminating subprocesses
[2025-02-13T20:10:09.757+0000] {process_utils.py:132} INFO - Sending 15 to group 448. PIDs of all processes in the group: [448]
[2025-02-13T20:10:09.758+0000] {process_utils.py:87} INFO - Sending the signal 15 to group 448
[2025-02-13T20:10:09.764+0000] {taskinstance.py:3094} ERROR - Received SIGTERM. Terminating subprocesses.
